Rank,Country,Annual Ecosystem Growth,Total Score
1,United States,18.2%,254.05
2,United Kingdom,26.3%,70.743
3,Israel,20.6%,62.167
4,Singapore,44.9%,54.682
5,Canada,18.8%,45.438
6,Sweden,30.7%,35.311
7,Germany,28.4%,33.159
8,France,30.2%,32.417
9,Switzerland,31.8%,31.747
10,The Netherlands,26.2%,30.872
11,Estonia,34.0%,30.722
12,Australia,24.8%,28.837
13,China,45.9%,26.942
14,Spain,29.7%,23.17
15,Finland,26.0%,22.859
16,Ireland,33.5%,21.216
17,Denmark,31.3%,20.769
18,Japan,36.0%,18.104
19,Lithuania,7.5%,17.519
20,South Korea,23.7%,16.581
21,United Arab Emirates,32.0%,16.358
22,India,16.8%,15.803
23,Belgium,29.1%,15.743
24,Norway,22.7%,14.349
25,Taiwan,8.4%,14.134
26,Austria,21.0%,11.957
27,Brazil,21.7%,11.898
28,Italy,15.2%,11.254
29,Portugal,15.6%,10.865
30,Czechia,17.3%,9.936
31,New Zealand,11.3%,9.488
32,Luxembourg,4.1%,8.87
33,Poland,10.6%,8.233
34,Russia,19.7%,8.101
35,Iceland,–1.6%,7.976
36,Colombia,22.3%,7.811
37,Chile,10.3%,6.645
38,Saudi Arabia,236.8%,6.629
39,Türkiye,7.0%,6.379
40,Cyprus,28.2%,6.369
41,Bulgaria,–0.8%,6.347
42,Ukraine,26.2%,6.196
43,Mexico,2.6%,6.021
44,Malaysia,14.2%,5.802
45,Indonesia,–10.4%,5.735
46,Argentina,6.0%,5.394
47,Greece,12.1%,5.06
48,Romania,–4.4%,4.802
49,Latvia,–0.3%,4.765
50,Croatia,–2.3%,4.46
51,Hungary,8.0%,4.239
52,South Africa,19.5%,3.927
53,Thailand,12.7%,3.302
54,Armenia,22.8%,3.226
55,Vietnam,17.9%,3.179
56,Serbia,–1.5%,3.147
57,Slovenia,–20.2%,2.883
58,Kenya,33.5%,2.764
59,Malta,–0.8%,2.728
60,Slovakia,23.9%,2.704
61,Uruguay,–3.7%,2.506
62,Bahrain,40.1%,2.339
63,Liechtenstein,6.1%,2.326
64,The Philippines,0.6%,2.237
65,Egypt,22.0%,2.132
66,Nigeria,5.4%,2.081
67,Peru,20.2%,1.287
68,Sri Lanka,47.2%,1.253
69,Jordan,–12.2%,1.199
70,Kazakhstan,21.3%,1.154
71,Georgia,8.9%,1.142
72,Pakistan,11.9%,1.097
73,Costa Rica,16.8%,1.065
74,Azerbaijan,24.5%,1.057
75,Cape Verde,22.8%,1.044
76,Qatar,13.6%,0.965
77,Lebanon,0.0%,0.956
78,North Macedonia,1.5%,0.862
79,Bangladesh,0.4%,0.829
80,Mongolia,–5.0%,0.807
81,Ghana,14.0%,0.8
82,Tunisia,15.3%,0.787
83,Albania,–19.1%,0.785
84,Belarus,–10.7%,0.746
85,Namibia,5.3%,0.743
86,Panama,–10.3%,0.735
87,Jamaica,2.1%,0.711
88,Morocco,23.1%,0.687
89,Kuwait,7.1%,0.661
90,Moldova,–18.3%,0.581
91,Bosnia and Herzegovina,27.8%,0.58
92,Senegal,–18.8%,0.575
93,Ecuador,7.80%,0.575
94,Uganda,-6.80%,0.468
95,Paraguay,3.10%,0.397
96,Rwanda,3.90%,0.371
97,Kosovo,4.90%,0.37
98,Uzbekistan,89.90%,0.358
99,Oman,—,0.349
100,Somalia,5.30%,0.33
