STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,size_emp,Size classes in number of persons employed,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),indic_is,Information society indicator,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ISOC_E_DII$DEFAULTVIEW(1.0),Digital Intensity by size class of enterprise,A,Annual,10-249,From 10 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_GELO,Enterprises with at least basic level of digital intensity (DII Version 3),PC_ENT,Percentage of enterprises,AT,Austria,2021,,64.43,,,,,
dataflow,ESTAT:ISOC_E_DII$DEFAULTVIEW(1.0),Digital Intensity by size class of enterprise,A,Annual,10-249,From 10 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_GELO,Enterprises with at least basic level of digital intensity (DII Version 3),PC_ENT,Percentage of enterprises,AT,Austria,2023,,57.93,,,,,
dataflow,ESTAT:ISOC_E_DII$DEFAULTVIEW(1.0),Digital Intensity by size class of enterprise,A,Annual,10-249,From 10 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_GELO,Enterprises with at least basic level of digital intensity (DII Version 3),PC_ENT,Percentage of enterprises,AT,Austria,2025,,72.99,,,,,
dataflow,ESTAT:ISOC_E_DII$DEFAULTVIEW(1.0),Digital Intensity by size class of enterprise,A,Annual,10-249,From 10 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_GELO,Enterprises with at least basic level of digital intensity (DII Version 3),PC_ENT,Percentage of enterprises,BA,Bosnia and Herzegovina,2021,,32.53,,,,,
dataflow,ESTAT:ISOC_E_DII$DEFAULTVIEW(1.0),Digital Intensity by size class of enterprise,A,Annual,10-249,From 10 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_GELO,Enterprises with at least basic level of digital intensity (DII Version 3),PC_ENT,Percentage of enterprises,BA,Bosnia and Herzegovina,2023,,43.24,,,,,
dataflow,ESTAT:ISOC_E_DII$DEFAULTVIEW(1.0),Digital Intensity by size class of enterprise,A,Annual,10-249,From 10 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_GELO,Enterprises with at least basic level of digital intensity (DII Version 3),PC_ENT,Percentage of enterprises,BA,Bosnia and Herzegovina,2025,,63.23,,,,,
dataflow,ESTAT:ISOC_E_DII$DEFAULTVIEW(1.0),Digital Intensity by size class of enterprise,A,Annual,10-249,From 10 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_GELO,Enterprises with at least basic level of digital intensity (DII Version 3),PC_ENT,Percentage of enterprises,BE,Belgium,2021,,65.35,,,,,
dataflow,ESTAT:ISOC_E_DII$DEFAULTVIEW(1.0),Digital Intensity by size class of enterprise,A,Annual,10-249,From 10 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_GELO,Enterprises with at least basic level of digital intensity (DII Version 3),PC_ENT,Percentage of enterprises,BE,Belgium,2023,,74.46,,,,,
dataflow,ESTAT:ISOC_E_DII$DEFAULTVIEW(1.0),Digital Intensity by size class of enterprise,A,Annual,10-249,From 10 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_GELO,Enterprises with at least basic level of digital intensity (DII Version 3),PC_ENT,Percentage of enterprises,BE,Belgium,2025,,84.35,,,,,
dataflow,ESTAT:ISOC_E_DII$DEFAULTVIEW(1.0),Digital Intensity by size class of enterprise,A,Annual,10-249,From 10 to 249 persons employed,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_DI3_GELO,Enterprises with at least basic level of digital intensity (DII Version 3),PC_ENT,Percentage of enterprises,BG,Bulgaria,2021,,25.24,,,,,
