STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,size_emp,Size classes in number of persons employed,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),indic_is,Information society indicator,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ISOC_EB_AI(1.0),Artificial intelligence by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_AI_ADOWN,Enterprises' AI technologies were developed by own employees,PC_ENT,Percentage of enterprises,AT,Austria,2025,,4.98,,,,,
dataflow,ESTAT:ISOC_EB_AI(1.0),Artificial intelligence by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_AI_ADOWN,Enterprises' AI technologies were developed by own employees,PC_ENT,Percentage of enterprises,BE,Belgium,2025,,6.61,,,,,
dataflow,ESTAT:ISOC_EB_AI(1.0),Artificial intelligence by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_AI_ADOWN,Enterprises' AI technologies were developed by own employees,PC_ENT,Percentage of enterprises,BG,Bulgaria,2025,,2.11,,,,,
dataflow,ESTAT:ISOC_EB_AI(1.0),Artificial intelligence by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_AI_ADOWN,Enterprises' AI technologies were developed by own employees,PC_ENT,Percentage of enterprises,CY,Cyprus,2025,,2.55,,,,,
dataflow,ESTAT:ISOC_EB_AI(1.0),Artificial intelligence by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_AI_ADOWN,Enterprises' AI technologies were developed by own employees,PC_ENT,Percentage of enterprises,EL,Greece,2025,,2.18,,,,,
dataflow,ESTAT:ISOC_EB_AI(1.0),Artificial intelligence by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_AI_ADOWN,Enterprises' AI technologies were developed by own employees,PC_ENT,Percentage of enterprises,ES,Spain,2025,,3.41,,,,,
dataflow,ESTAT:ISOC_EB_AI(1.0),Artificial intelligence by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_AI_ADOWN,Enterprises' AI technologies were developed by own employees,PC_ENT,Percentage of enterprises,FI,Finland,2025,,7.28,,,,,
dataflow,ESTAT:ISOC_EB_AI(1.0),Artificial intelligence by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_AI_ADOWN,Enterprises' AI technologies were developed by own employees,PC_ENT,Percentage of enterprises,FR,France,2025,,,,u,low reliability,,
dataflow,ESTAT:ISOC_EB_AI(1.0),Artificial intelligence by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_AI_ADOWN,Enterprises' AI technologies were developed by own employees,PC_ENT,Percentage of enterprises,HR,Croatia,2025,,3.45,,,,,
dataflow,ESTAT:ISOC_EB_AI(1.0),Artificial intelligence by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_AI_ADOWN,Enterprises' AI technologies were developed by own employees,PC_ENT,Percentage of enterprises,HU,Hungary,2025,,1.43,,,,,
dataflow,ESTAT:ISOC_EB_AI(1.0),Artificial intelligence by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_AI_ADOWN,Enterprises' AI technologies were developed by own employees,PC_ENT,Percentage of enterprises,LT,Lithuania,2025,,4.35,,,,,
dataflow,ESTAT:ISOC_EB_AI(1.0),Artificial intelligence by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_AI_ADOWN,Enterprises' AI technologies were developed by own employees,PC_ENT,Percentage of enterprises,LU,Luxembourg,2025,,5.14,,,,,
dataflow,ESTAT:ISOC_EB_AI(1.0),Artificial intelligence by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_AI_ADOWN,Enterprises' AI technologies were developed by own employees,PC_ENT,Percentage of enterprises,LV,Latvia,2025,,1.91,,,,,
dataflow,ESTAT:ISOC_EB_AI(1.0),Artificial intelligence by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_AI_ADOWN,Enterprises' AI technologies were developed by own employees,PC_ENT,Percentage of enterprises,MT,Malta,2025,,4.99,,,,,
dataflow,ESTAT:ISOC_EB_AI(1.0),Artificial intelligence by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_AI_ADOWN,Enterprises' AI technologies were developed by own employees,PC_ENT,Percentage of enterprises,NL,Netherlands,2025,,6.36,,,,,
dataflow,ESTAT:ISOC_EB_AI(1.0),Artificial intelligence by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_AI_ADOWN,Enterprises' AI technologies were developed by own employees,PC_ENT,Percentage of enterprises,NO,Norway,2025,,5.25,,,,,
dataflow,ESTAT:ISOC_EB_AI(1.0),Artificial intelligence by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_AI_ADOWN,Enterprises' AI technologies were developed by own employees,PC_ENT,Percentage of enterprises,PL,Poland,2025,,2.11,,,,,
dataflow,ESTAT:ISOC_EB_AI(1.0),Artificial intelligence by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_AI_ADOWN,Enterprises' AI technologies were developed by own employees,PC_ENT,Percentage of enterprises,PT,Portugal,2025,,2.62,,,,,
dataflow,ESTAT:ISOC_EB_AI(1.0),Artificial intelligence by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_AI_ADOWN,Enterprises' AI technologies were developed by own employees,PC_ENT,Percentage of enterprises,SE,Sweden,2025,,7.01,,,,,
dataflow,ESTAT:ISOC_EB_AI(1.0),Artificial intelligence by size class of enterprise,A,Annual,GE10,10 persons employed or more,C10-S951_X_K,"All activities (except agriculture, forestry and fishing, and mining and quarrying), without financial sector",E_AI_ADOWN,Enterprises' AI technologies were developed by own employees,PC_ENT,Percentage of enterprises,SI,Slovenia,2025,,3.00,,,,,
